Month,Demand_Avg_MW,Temperature_C,Rainfall_mm,Sunshine_hours,Year,Month_Num
2015-01-31,37972.21169354839,5.2,63.4,0.0,2015,1
2015-02-28,38506.00818452381,4.9,38.6,0.0,2015,2
2015-03-31,35307.80779569892,7.85,24.0,0.0,2015,3
2015-04-30,31044.95902777778,11.15,16.2,0.0,2015,4
2015-05-31,29167.494623655915,13.200000000000001,41.6,0.0,2015,5
2015-06-30,28697.68125,16.8,12.2,0.0,2015,6
2015-07-31,28431.092741935485,18.75,71.8,0.0,2015,7
2015-08-31,28159.56384408602,18.15,116.8,0.0,2015,8
2015-09-30,29997.602777777778,14.4,50.0,0.0,2015,9
2015-10-31,32474.80510752688,12.55,39.8,0.0,2015,10
2015-11-30,34217.45,10.7,48.2,0.0,2015,11
2015-12-31,33152.06384408602,11.3,39.4,0.0,2015,12
2016-01-31,36022.51276881721,6.25,74.8,0.0,2016,1
2016-02-29,35941.121408045976,6.15,43.8,0.0,2016,2
2016-03-31,34376.208333333336,6.949999999999999,72.8,0.0,2016,3
2016-04-30,31300.13888888889,9.2,47.2,0.0,2016,4
2016-05-31,27875.497983870966,14.35,60.4,0.0,2016,5
2016-06-30,28247.027083333334,16.7,93.4,0.0,2016,6
2016-07-31,27026.538306451614,19.25,16.0,0.0,2016,7
2016-08-31,26726.0685483871,19.65,21.6,0.0,2016,8
2016-09-30,28237.98888888889,18.049999999999997,42.2,0.0,2016,9
2016-10-31,30820.364247311827,12.3,21.6,0.0,2016,10
2016-11-30,35480.88680555556,7.15,86.4,0.0,2016,11
2016-12-31,34672.12096774193,6.8,10.4,0.0,2016,12
2017-01-31,37050.409946236556,4.1499999999999995,60.2,0.0,2017,1
2017-02-28,35068.30877976191,7.2,38.2,0.0,2017,2
2017-03-31,32079.299059139787,10.35,25.8,0.0,2017,3
2017-04-30,28454.92361111111,10.850000000000001,4.6,0.0,2017,4
2017-05-31,27604.02889784946,15.100000000000001,64.8,0.0,2017,5
2017-06-30,26416.974305555555,18.95,46.4,0.0,2017,6
2017-07-31,26255.08938172043,19.35,90.0,0.0,2017,7
2017-08-31,26137.77889784946,17.75,58.6,0.0,2017,8
2017-09-30,27977.70902777778,15.1,59.0,0.0,2017,9
2017-10-31,29187.344086021505,13.700000000000001,9.2,0.0,2017,10
2017-11-30,33752.220138888886,7.8,34.2,0.0,2017,11
2017-12-31,34789.646505376346,5.8,81.2,0.0,2017,12
2018-01-31,35372.9751344086,6.75,58.0,0.0,2018,1
2018-02-28,35927.104166666664,3.65,29.0,0.0,2018,2
2018-03-31,34721.8810483871,6.4,81.2,0.0,2018,3
2018-04-30,29823.570833333335,11.7,65.2,0.0,2018,4
2018-05-31,26509.5436827957,15.3,58.4,0.0,2018,5
2018-06-30,26007.94027777778,18.65,0.4,0.0,2018,6
2018-07-31,26524.255376344085,22.35,14.8,0.0,2018,7
2018-08-31,26212.03696236559,19.5,48.2,0.0,2018,8
2018-09-30,26851.8,15.95,29.4,0.0,2018,9
2018-10-31,29526.164650537634,12.5,61.0,0.0,2018,10
2018-11-30,32913.245833333334,9.0,73.8,0.0,2018,11
2018-12-31,32946.844086021505,7.949999999999999,60.6,0.0,2018,12
2019-01-31,35438.55174731183,4.8,33.2,0.0,2019,1
2019-02-28,33117.091517857145,7.85,34.2,0.0,2019,2
2019-03-31,30570.02688172043,9.45,49.6,0.0,2019,3
2019-04-30,28529.799305555556,10.75,12.8,0.0,2019,4
2019-05-31,26732.21572580645,13.5,36.0,0.0,2019,5
2019-06-30,25643.755555555555,16.85,81.8,0.0,2019,6
2019-07-31,25742.460349462366,20.2,50.8,0.0,2019,7
2019-08-31,24720.12365591398,19.65,33.6,0.0,2019,8
