Quarter_End_Date,Quarterly_Price_per_kWh,Year,Quarter
2010-03-31,13.22152776168896,2010,1
2010-06-30,13.22152776168896,2010,2
2010-09-30,13.22152776168896,2010,3
2010-12-31,13.22152776168896,2010,4
2011-03-31,14.399365635515256,2011,1
2011-06-30,14.399365635515256,2011,2
2011-09-30,14.399365635515256,2011,3
2011-12-31,14.399365635515256,2011,4
2012-03-31,14.7348740553521,2012,1
2012-06-30,14.7348740553521,2012,2
2012-09-30,14.7348740553521,2012,3
2012-12-31,14.7348740553521,2012,4
2013-03-31,16.654676744443556,2013,1
2013-06-30,16.654676744443556,2013,2
2013-09-30,16.654676744443556,2013,3
2013-12-31,16.654676744443556,2013,4
2014-03-31,18.125287222572027,2014,1
2014-06-30,18.125287222572027,2014,2
2014-09-30,18.125287222572027,2014,3
2014-12-31,18.125287222572027,2014,4
2015-03-31,17.821488787227533,2015,1
2015-06-30,17.821488787227533,2015,2
2015-09-30,17.821488787227533,2015,3
2015-12-31,17.821488787227533,2015,4
2016-03-31,17.824678575661626,2016,1
2016-06-30,17.824678575661626,2016,2
2016-09-30,17.824678575661626,2016,3
2016-12-31,17.824678575661626,2016,4
2017-03-31,19.435287944754997,2017,1
2017-06-30,19.435287944754997,2017,2
2017-09-30,19.435287944754997,2017,3
2017-12-31,19.435287944754997,2017,4
2018-03-31,21.89274047748701,2018,1
2018-06-30,21.89274047748701,2018,2
2018-09-30,21.89274047748701,2018,3
2018-12-31,21.89274047748701,2018,4
2019-03-31,22.63574799273228,2019,1
2019-06-30,22.63574799273228,2019,2
2019-09-30,22.63574799273228,2019,3
2019-12-31,22.63574799273228,2019,4
2020-03-31,22.376937542649582,2020,1
2020-06-30,22.376937542649582,2020,2
2020-09-30,22.376937542649582,2020,3
2020-12-31,22.376937542649582,2020,4
2021-03-31,22.93049478985917,2021,1
2021-06-30,22.93049478985917,2021,2
2021-09-30,22.93049478985917,2021,3
2021-12-31,22.93049478985917,2021,4
2022-03-31,37.06399358676142,2022,1
2022-06-30,37.06399358676142,2022,2
2022-09-30,37.06399358676142,2022,3
2022-12-31,37.06399358676142,2022,4
2023-03-31,46.95006979333495,2023,1
2023-06-30,46.95006979333495,2023,2
2023-09-30,46.95006979333495,2023,3
2023-12-31,46.95006979333495,2023,4
2024-03-31,53.62435594591404,2024,1
2024-06-30,53.62435594591404,2024,2
2024-09-30,53.62435594591404,2024,3
2024-12-31,53.62435594591404,2024,4
2025-03-31,50.84843620589182,2025,1
2025-06-30,50.84843620589182,2025,2
2025-09-30,50.84843620589182,2025,3
2025-12-31,50.84843620589182,2025,4
