Quarter_End_Date,Original_Category,Arrears_Billions_GBP,Year,Quarter
2018-03-31,Q1 2018,1.086,2018,1
2018-06-30,Q2 2018,1.169,2018,2
2018-09-30,Q3 2018,1.195,2018,3
2018-12-31,Q4 2018,1.142,2018,4
2019-03-31,Q1 2019,1.225,2019,1
2019-06-30,Q2 2019,1.341,2019,2
2019-09-30,Q3 2019,1.337,2019,3
2019-12-31,Q4 2019,1.293,2019,4
2020-03-31,Q1 2020,1.316,2020,1
2020-06-30,Q2 2020,1.505,2020,2
2020-09-30,Q3 2020,1.55,2020,3
2020-12-31,Q4 2020,1.452,2020,4
2021-03-31,Q1 2021,1.549,2021,1
2021-06-30,Q2 2021,1.669,2021,2
2021-09-30,Q3 2021,1.751,2021,3
2021-12-31,Q4 2021,1.793,2021,4
2022-03-31,Q1 2022,1.81,2022,1
2022-06-30,Q2 2022,2.03,2022,2
2022-09-30,Q3 2022,2.0,2022,3
2022-12-31,Q4 2022,2.04,2022,4
2023-03-31,Q1 2023,2.17,2023,1
2023-06-30,Q2 2023,2.59,2023,2
2023-09-30,Q3 2023,2.92,2023,3
2023-12-31,Q4 2023,3.1,2023,4
2024-03-31,Q1 2024,3.31,2024,1
2024-06-30,Q2 2024,3.69,2024,2
2024-09-30,Q3 2024,3.82,2024,3
2024-12-31,Q4 2024,3.85,2024,4
2025-03-31,Q1 2025,4.15,2025,1
2025-06-30,Q2 2025,4.43,2025,2
2025-09-30,Q3 2025,4.48,2025,3
2025-12-31,Q4 2025,4.55,2025,4
