Quarter_End_Date,Demand_MW,Quarterly_Price_per_kWh,Arrears_Billions_GBP,Financial_Stress_Index,Quarter,Year,Is_Crisis_Period
2015-03-31,37262.00922459037,17.821488787227533,0.0,664064.4795856063,1,2015,0
2015-06-30,29636.71163381123,17.821488787227533,0.0,528170.3240722626,2,2015,0
2015-09-30,28862.75312126643,17.821488787227533,0.0,514377.2311191661,3,2015,0
2015-12-31,33281.43965053763,17.821488787227533,0.0,593124.8035548462,4,2015,0
2016-03-31,35446.614170065506,17.824678575661626,0.0,631824.5041769104,1,2016,0
2016-06-30,29140.8879853644,17.824678575661626,0.0,519426.9617484801,2,2016,0
2016-09-30,27330.198581242537,17.824678575661626,0.0,487152.0051196516,3,2016,0
2016-12-31,33657.79067353644,17.824678575661626,0.0,599939.3003226887,4,2016,0
2017-03-31,34732.67259504608,19.435287944754997,0.0,675039.4929756214,1,2017,0
2017-06-30,27491.97560483871,19.435287944754997,0.0,534314.4620502202,2,2017,0
2017-09-30,26790.19243578256,19.435287944754997,0.0,520675.10408483126,3,2017,0
2017-12-31,32576.403576762244,19.435287944754997,0.0,633131.7837189208,4,2017,0
2018-03-31,35340.65344982079,21.89274047748701,1.086,773704.8402817326,1,2018,0
2018-06-30,27447.0182646356,21.89274047748701,1.169,600891.6167485131,2,2018,0
2018-09-30,26529.364112903222,21.89274047748701,1.195,580801.6785565476,3,2018,0
2018-12-31,31795.41818996416,21.89274047748701,1.142,696089.9808060551,4,2018,0
2019-03-31,33041.890048963134,22.63574799273228,1.225,747929.121351898,1,2019,0
2019-06-30,26968.590195639186,22.63574799273228,1.341,610455.5523877592,2,2019,0
2019-09-30,25512.571983273596,22.63574799273228,1.337,577497.4870598231,3,2019,0
2019-12-31,31990.900776583032,22.63574799273228,1.293,724139.2610392369,4,2019,0
2020-03-31,31456.689562476826,22.376937542649582,1.316,703905.6936380609,1,2020,0
2020-06-30,22437.816554659497,22.376937542649582,1.505,502091.1246370444,2,2020,0
2020-09-30,24390.8722520908,22.376937542649582,1.55,545794.5749957807,3,2020,0
2020-12-31,30365.326120071684,22.376937542649582,1.452,679484.4580510301,4,2020,0
2021-03-31,31718.655537954426,22.93049478985917,1.549,727326.0145544017,1,2021,0
2021-06-30,26318.825701911588,22.93049478985917,1.669,603505.3646328953,2,2021,0
2021-09-30,25264.13664874552,22.93049478985917,1.751,579320.9047943493,3,2021,0
2021-12-31,30152.43449074074,22.93049478985917,1.793,691412.0349915004,4,2021,0
2022-03-31,30813.129280273937,37.06399358676142,1.81,1142059.4360321239,1,2022,1
2022-06-30,24223.811581541217,37.06399358676142,2.03,897833.2271051607,2,2022,1
2022-09-30,23572.767256571085,37.06399358676142,2.0,873702.8944197703,3,2022,1
2022-12-31,27943.775291218637,37.06399358676142,2.04,1035709.9481836298,4,2022,1
2023-03-31,29777.327476958526,46.95006979333495,2.17,1398049.773302193,1,2023,1
2023-06-30,23627.076941457588,46.95006979333495,2.59,1109295.5014139286,2,2023,1
2023-09-30,22637.011178315413,46.95006979333495,2.92,1062812.174734412,3,2023,1
2023-12-31,28250.34784199522,46.95006979333495,3.1,1326358.9028676648,4,2023,1
2024-03-31,29742.632585588926,53.62435594591404,3.31,1594932.8265381623,1,2024,1
2024-06-30,23478.29136051374,53.62435594591404,3.69,1259011.942918067,2,2024,1
2024-09-30,22943.27138590203,53.62435594591404,3.82,1230321.971361315,3,2024,1
