Quarter_End_Date,Year,Quarter,Historical_Demand_MW,Forecast_Demand_MW,Demand_MW,Data_Type,Period,Decade,Quarter_Label
2015-03-31,2015,1,37262.00922459037,,37262.00922459037,Historical (2015-2025),Historical,2010s,Q1 2015
2015-06-30,2015,2,29636.71163381123,,29636.71163381123,Historical (2015-2025),Historical,2010s,Q2 2015
2015-09-30,2015,3,28862.75312126643,,28862.75312126643,Historical (2015-2025),Historical,2010s,Q3 2015
2015-12-31,2015,4,33281.43965053763,,33281.43965053763,Historical (2015-2025),Historical,2010s,Q4 2015
2016-03-31,2016,1,35446.614170065506,,35446.614170065506,Historical (2015-2025),Historical,2010s,Q1 2016
2016-06-30,2016,2,29140.8879853644,,29140.8879853644,Historical (2015-2025),Historical,2010s,Q2 2016
2016-09-30,2016,3,27330.198581242537,,27330.198581242537,Historical (2015-2025),Historical,2010s,Q3 2016
2016-12-31,2016,4,33657.79067353644,,33657.79067353644,Historical (2015-2025),Historical,2010s,Q4 2016
2017-03-31,2017,1,34732.67259504608,,34732.67259504608,Historical (2015-2025),Historical,2010s,Q1 2017
2017-06-30,2017,2,27491.97560483871,,27491.97560483871,Historical (2015-2025),Historical,2010s,Q2 2017
2017-09-30,2017,3,26790.19243578256,,26790.19243578256,Historical (2015-2025),Historical,2010s,Q3 2017
2017-12-31,2017,4,32576.403576762244,,32576.403576762244,Historical (2015-2025),Historical,2010s,Q4 2017
2018-03-31,2018,1,35340.65344982079,,35340.65344982079,Historical (2015-2025),Historical,2010s,Q1 2018
2018-06-30,2018,2,27447.0182646356,,27447.0182646356,Historical (2015-2025),Historical,2010s,Q2 2018
2018-09-30,2018,3,26529.364112903226,,26529.364112903226,Historical (2015-2025),Historical,2010s,Q3 2018
2018-12-31,2018,4,31795.41818996416,,31795.41818996416,Historical (2015-2025),Historical,2010s,Q4 2018
2019-03-31,2019,1,33041.890048963134,,33041.890048963134,Historical (2015-2025),Historical,2010s,Q1 2019
2019-06-30,2019,2,26968.590195639183,,26968.590195639183,Historical (2015-2025),Historical,2010s,Q2 2019
2019-09-30,2019,3,25512.5719832736,,25512.5719832736,Historical (2015-2025),Historical,2010s,Q3 2019
2019-12-31,2019,4,31990.900776583032,,31990.900776583032,Historical (2015-2025),Historical,2010s,Q4 2019
